time,price,deltaCategory,volume
15:00:24,2822.50,5,40
15:00:24,2822.25,1,5
15:00:24,2822.50,5,14
15:00:25,2822.25,1,3
15:00:26,2822.50,5,25
15:00:29,2822.25,3,27
15:00:30,2822.00,1,18
15:00:30,2821.75,1,1
15:00:30,2822.00,5,4
15:00:30,2822.25,5,1
15:00:32,2822.00,2,13
15:00:33,2822.25,5,2
15:00:33,2822.00,1,3
15:00:33,2822.25,5,13
15:00:33,2822.50,5,1
15:00:33,2822.25,1,1
15:00:34,2822.50,5,1
15:00:34,2822.25,1,1
15:00:34,2822.50,5,11
15:00:34,2822.75,5,44
15:00:34,2823.00,5,26
15:00:34,2823.25,5,4
15:00:34,2823.50,5,8
15:00:34,2823.75,5,4
15:00:34,2823.50,5,1
15:00:34,2823.25,1,4
15:00:34,2823.50,5,2
15:00:36,2823.25,2,22
15:00:37,2823.50,3,17
15:00:37,2823.25,1,3
15:00:39,2823.50,5,3
15:00:41,2823.25,2,16
15:00:42,2823.00,2,14
15:00:43,2822.75,1,5
15:00:44,2823.00,5,7
15:00:44,2823.25,5,3
15:00:44,2823.00,3,6
15:00:44,2822.75,1,7
15:00:44,2822.50,1,3
15:00:44,2822.75,4,10
15:00:45,2823.00,5,7
15:00:45,2823.25,5,7
15:00:45,2823.50,5,4
15:00:45,2823.75,5,13
15:00:45,2824.00,5,4
15:00:45,2823.25,3,14
15:00:45,2823.00,1,7
15:00:46,2822.75,1,2
15:00:46,2823.25,5,9
15:00:46,2823.50,2,21
15:00:46,2823.25,1,1
15:00:46,2823.50,5,7
15:00:46,2823.75,5,8
15:00:49,2823.25,1,5
15:00:49,2823.50,3,6
15:00:51,2823.25,3,14
15:00:51,2823.00,1,3
15:00:51,2823.25,4,12
15:00:51,2823.00,1,4
15:00:52,2823.50,5,4
15:00:54,2823.25,2,8
15:00:54,2823.00,1,1
15:00:55,2823.25,5,2
15:00:55,2823.50,5,1
15:00:55,2823.00,1,5
15:00:55,2823.25,5,4
15:00:56,2823.00,1,1
15:00:57,2823.25,5,2
15:00:58,2823.50,5,9
15:00:58,2823.25,1,1
15:01:01,2823.50,5,29
15:01:01,2823.75,2,20
15:01:01,2824.00,5,4
15:01:02,2823.75,1,5
15:01:02,2823.50,1,4
15:01:04,2823.75,5,3
